player,opp,opp_rank,overall_rank,pos_rank,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,fanduel_pts,fanduel_cost,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,2-pt,fl,punt_td,kick_td


"Demaryius Thomas (WR, DEN)",OAK,#32,1,1,0.00,0.00,0.00,0.00,0.00,0.00,8.03,115.76,0.71,23.79,19.77,$8600,2.3,26.83,$8100,3.31,19.77,$137400,0.14,23.79,$16350,1.46,19.77,$6200,3.19,23.83,$8100,2.94,23.87,$8500,2.81,19.81,$7500,2.64,19.77,$31,637.74
"Le'Veon Bell (RB, PIT)",SD,#22,2,1,0.00,0.00,0.00,18.35,81.42,0.51,5.75,48.77,0.24,22.97,20.09,$9000,2.23,23.12,$8500,2.72,20.09,$150100,0.13,22.97,$19850,1.16,20.09,$6400,3.14,23.12,$8700,2.66,23.27,$8100,2.87,20.24,$8100,2.5,20.09,$37,542.97
"Julio Jones (WR, ATL)",WSH,#14,3,2,0.00,0.00,0.00,0.02,0.22,0.00,6.83,109.04,0.78,22.48,19.06,$9200,2.07,25.5,$9200,2.77,19.06,$147500,0.13,22.48,$21650,1.04,19.06,$6400,2.98,22.5,$9700,2.32,22.52,$8900,2.53,19.08,$8700,2.19,19.06,$37,515.14
"Matt Ryan (QB, ATL)",WSH,#14,4,1,317.39,2.43,0.64,2.33,9.24,0.08,0.00,0.00,0.00,22.42,23.06,$8300,2.78,26.16,$6700,3.9,22.42,$143400,0.16,23.06,$17750,1.3,25.59,$6950,3.68,23.16,$9200,2.52,26.43,$7800,3.39,23.16,$8100,2.86,23.06,$37,623.24
"Tom Brady (QB, NE)",DAL,#21,5,2,328.12,2.20,1.00,2.58,11.18,0.16,0.00,0.00,0.00,21.84,22.84,$8800,2.6,26,$7800,3.33,21.84,$158400,0.14,22.84,$21750,1.05,25.12,$7450,3.37,23,$9100,2.53,26.44,$8800,3,23,$8300,2.77,22.84,$46,496.52
"Jamaal Charles (RB, KC)",CHI,#30,6,2,0.00,0.00,0.00,15.78,74.64,0.74,4.24,37.61,0.32,21.59,19.47,$9100,2.14,21.71,$7800,2.78,19.47,$143200,0.14,21.59,$17900,1.21,19.47,$6450,3.02,21.71,$9000,2.41,21.83,$8100,2.7,19.59,$7100,2.76,19.47,$37,526.22
"Aaron Rodgers (QB, GB)",STL,#7,7,3,303.09,2.27,0.81,3.72,15.26,0.09,0.00,0.00,0.00,21.47,22.28,$9200,2.42,25.39,$7900,3.21,21.47,$153400,0.14,22.28,$20700,1.08,24.5,$7450,3.29,22.39,$8300,2.7,25.53,$8800,2.9,22.39,$8800,2.54,22.28,$43,518.14
"Peyton Manning (QB, DEN)",OAK,#32,8,4,323.61,2.33,1.06,1.76,2.41,0.00,0.00,0.00,0.00,19.85,20.91,$8200,2.55,24.2,$7000,3.46,19.85,$138600,0.14,20.91,$15650,1.34,23.08,$7350,3.14,21.2,$7300,2.9,24.72,$8300,2.98,21.2,$6400,3.31,20.91,$36,580.83
"Philip Rivers (QB, SD)",PIT,#16,9,5,299.58,2.30,0.99,2.28,4.29,0.00,0.00,0.00,0.00,19.39,20.38,$7500,2.72,20.54,$6200,3.31,19.39,$123400,0.16,20.38,$16150,1.26,22.39,$6800,3.29,20.54,$7300,2.81,23.7,$7400,3.2,20.54,$7000,2.93,20.38,$33,617.58
"Carson Palmer (QB, ARI)",DET,#20,10,6,275.32,1.94,0.74,3.02,14.47,0.12,0.00,0.00,0.00,19.26,20,$8100,2.47,20.14,$6600,3.05,19.26,$134500,0.14,20,$16600,1.2,22.01,$6700,3.29,20.14,$7200,2.8,23.03,$8200,2.81,20.14,$7400,2.72,20,$39,512.82
