,Unnamed: 0,player,fire,dk_name
123,123,Larry Donnell ,8.047,Larry Donnell
124,124,Marvin Jones ,7.997,Marvin Jones
125,125,Coby Fleener ,7.795,NaN
126,126,Nelson Agholor ,7.842,Nelson Agholor
127,127,Alfred Blue ,7.8978,NaN
128,128,Zach Ertz ,7.61,Zach Ertz
129,129,Cole Beasley ,7.727,Cole Beasley
130,130,Jared Cook ,7.612,Jared Cook
131,131,Jacob Tamme ,7.498,Jacob Tamme
132,132,Mohamed Sanu ,7.567,Mohamed Sanu
133,133,Torrey Smith ,7.445,Torrey Smith
134,134,Julius Thomas ,7.444,Julius Thomas
135,135,Ronnie Hillman ,7.533,Ronnie Hillman
136,136,Brandon Pettigrew ,7.611,Brandon Pettigrew
137,137,Chandler Worthy ,7.357,NaN
138,138,DeAngelo Williams ,7.503,DeAngelo Williams
139,139,Theo Riddick ,7.323,Theo Riddick
140,140,Gary Barnidge ,7.214,Gary Barnidge
141,141,Roddy White ,7.189,Roddy White
142,142,Derek Carrier ,7.106,Derek Carrier
143,143,James Starks ,7.209,James Starks
144,144,Andre Ellington ,7.272,Andre Ellington
145,145,Dontrelle Inman ,7.025,Dontrelle Inman
146,146,Knile Davis ,6.932,Knile Davis
147,147,Richard Rodgers ,6.873,Richard Rodgers
148,148,Ryan Grant ,6.777,Ryan Grant
149,149,Dwayne Allen ,6.705,NaN
150,150,Louis Murphy ,6.682,Louis Murphy
151,151,Brian Quick ,6.427,Brian Quick
152,152,Cameron Meredith ,6.368,Cameron Meredith
153,153,Jeremy Langford ,6.4698,Jeremy Langford
154,154,Maxx Williams ,6.314,Maxx Williams
155,155,Duke Johnson ,6.209,Duke Johnson Jr.
156,156,Garrett Graham ,6.116,NaN
157,157,Mychal Rivera ,6.045,Mychal Rivera
158,158,Brian Hartline ,5.925,Brian Hartline
159,159,Fred Jackson ,5.833,Fred Jackson
160,160,Javorius Allen ,5.873,Javorius Allen
161,161,Benny Cunningham ,5.87,Benny Cunningham
162,162,Josh Bellamy ,5.736,Joshua Bellamy
163,163,Charles Sims ,5.839,Charles Sims
164,164,Riley Cooper ,5.651,Riley Cooper
165,165,Willie Snead ,5.547,Willie Snead
166,166,Justin Hunter ,5.51,Justin Hunter
167,167,Brandon Tate ,5.468,Brandon Tate
168,168,Chris Conley ,5.38,Chris Conley
169,169,Ty Montgomery ,5.279,Ty Montgomery
170,170,Markus Wheaton ,5.147,Markus Wheaton
171,171,Darren Fells ,5.149,Darren Fells
172,172,Jordan Norwood ,5.102,Jordan Norwood
173,173,Harry Douglas ,5.112,Harry Douglas
174,174,Andre Holmes ,4.975,Andre Holmes
175,175,Ladarius Green ,5.078,Ladarius Green
176,176,Dexter McCluster ,5.082,Dexter McCluster
177,177,Marcedes Lewis ,4.981,Marcedes Lewis
178,178,Stedman Bailey ,4.928,Stedman Bailey
179,179,Josh Robinson ,4.848,NaN
180,180,Garrett Celek ,4.76,Garrett Celek
181,181,David Johnson ,4.7982,David Johnson
182,182,Tavon Austin ,4.775,Tavon Austin
183,183,Christine Michael ,4.7808,Christine Michael
184,184,Danny Amendola ,4.659,Danny Amendola
185,185,Taylor Gabriel ,4.574,Taylor Gabriel
186,186,Andrew Hawkins ,4.555,Andrew Hawkins
187,187,Toby Gerhart ,4.5862,Toby Gerhart
188,188,Michael Floyd ,4.524,Michael Floyd
189,189,Roy Helu ,4.553,Roy Helu Jr.
190,190,Marcus Easley ,4.428,Marcus Easley
191,191,Bennie Fowler ,4.389,Bennie Fowler
192,192,Virgil Green ,4.284,Virgil Green
193,193,Nick Williams ,4.281,Nick Williams
194,194,Phillip Dorsett ,4.311,NaN
195,195,Andre Johnson ,4.281,NaN
196,196,Jason Avant ,4.226,Jason Avant
197,197,Reggie Bush ,4.208,Reggie Bush
198,198,Josh Huff ,4.0624,Josh Huff
199,199,Anthony Fasano ,4.037,Anthony Fasano
200,200,Tre Mason ,4.029,Tre Mason
201,201,Marquise Goodwin ,3.924,Marquise Goodwin
202,202,Rueben Randle ,3.964,Rueben Randle
203,203,Chris Matthews ,3.882,Chris Matthews
204,204,Brent Celek ,3.857,Brent Celek
205,205,Scott Chandler ,3.868,Scott Chandler
206,206,Luke Willson ,3.783,Luke Willson
207,207,Benjamin Watson ,3.666,Benjamin Watson
208,208,Sammie Coates ,3.648,Sammie Coates
209,209,B.J. Daniels ,3.603,B.J. Daniels
210,210,Miles Austin ,3.575,Miles Austin
211,211,Ricardo Lockette ,3.606,Ricardo Lockette
212,212,Lance Moore ,3.524,Lance Moore
213,213,Matt Spaeth ,3.379,Matt Spaeth
214,214,Lance Kendricks ,3.296,Lance Kendricks
215,215,Jaelen Strong ,3.284,NaN
216,216,James O'Shaughnessy ,3.279,James O'Shaughnessy
217,217,Dorial Green-Beckham ,3.274,Dorial Green-Beckham
218,218,Zach Zenner ,3.258,Zach Zenner
219,219,Tyler Lockett ,3.252,Tyler Lockett
220,220,Craig Stevens ,3.226,Craig Stevens
221,221,Brandon Coleman ,3.204,Brandon Coleman
222,222,Tony Moeaki ,3.144,NaN
223,223,Jermaine Gresham ,3.131,Jermaine Gresham
224,224,Josh Hill ,3.104,Josh Hill
225,225,Ka'Deem Carey ,3.057,Ka'Deem Carey
226,226,Terron Ward ,2.987,Terron Ward
227,227,Levine Toilolo ,2.842,Levine Toilolo
228,228,Troy Niklas ,2.762,Troy Niklas
229,229,Chris Polk ,2.709,NaN
230,230,Chris Gragg ,2.663,Chris Gragg
231,231,Johnny Manziel ,2.9826,Johnny Manziel
232,232,Gavin Escobar ,2.629,Gavin Escobar
233,233,Matt Cassel ,2.7146,Matt Cassel
234,234,Antonio Andrews ,2.437,Antonio Andrews
235,235,Michael Hoomanawanui ,2.381,Michael Hoomanawanui
236,236,John Kuhn ,2.34,John Kuhn
237,237,De'Anthony Thomas ,2.329,De'Anthony Thomas
238,238,Bobby Rainey ,2.345,Bobby Rainey
239,239,Jay Prosch ,2.2398,NaN
240,240,Stepfan Taylor ,2.166,Stepfan Taylor
241,241,Darrel Young ,2.125,Darrel Young
242,242,Jerome Felton ,2.128,Jerome Felton
243,243,C.J. Fiedorowicz ,2.099,NaN
244,244,Rob Housler ,1.906,Rob Housler
245,245,Khiry Robinson ,1.929,Khiry Robinson
246,246,Dri Archer ,1.921,Dri Archer
247,247,Jarryd Hayne ,1.868,Jarryd Hayne
248,248,Anthony Sherman ,1.836,Anthony Sherman
249,249,Marcel Reece ,1.83,Marcel Reece
250,250,Branden Oliver ,1.822,Branden Oliver
251,251,Will Johnson ,1.809,Will Johnson
252,252,James White ,1.757,James White
253,253,Malcolm Johnson ,1.731,Malcolm Johnson
254,254,Devin Street ,1.705,Devin Street
255,255,Andre Caldwell ,1.725,Andre Caldwell
256,256,Jacquizz Rodgers ,1.71,Jacquizz Rodgers
257,257,Michael Burton ,1.678,Michael Burton
258,258,Chris Thompson ,1.656,Chris Thompson
259,259,Juwan Thompson ,1.655,Juwan Thompson
260,260,Brandon Myers ,1.564,Brandon Myers
261,261,Brandon Bolden ,1.483,Brandon Bolden
262,262,Patrick DiMarco ,1.39,Patrick DiMarco
263,263,Cedric Peerman ,1.3636,Cedric Peerman
264,264,Vance McDonald ,1.231,Vance McDonald
265,265,Eric Weems ,1.216,Eric Weems
266,266,Marlon Moore ,1.197,Marlon Moore
267,267,Nic Jacobs ,1.133,Nic Jacobs
268,268,Colt McCoy ,1.1964,Colt McCoy
269,269,Mark Sanchez ,1.146,Mark Sanchez
270,270,Chad Henne ,1.162,Chad Henne
271,271,Ryan Hewitt ,1.064,Ryan Hewitt
272,272,Jacoby Jones ,1.006,Jacoby Jones
273,273,E.J. Manuel ,1.1116,EJ Manuel
274,281,Mike Glennon ,1.0988,Mike Glennon
